what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405070587329
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405070587551
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405070587620
error,log,,,"Could not retrieve interfaces",1405070587958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070599116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1405070611897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070611933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405070613582
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405070613638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405070620983
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1405070637767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070645948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070646585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070646639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070658881
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405070662266
activated,editor,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui.internal.editors.PersistenceEditor",1405070662429
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405070662514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405070704944
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405070705012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070743210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070767877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405070770439
