what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1405085708633
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1405085708653
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1405085708724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405085709058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085709094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085711209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405085712848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085712867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085718710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085726181
started,bundle,org.eclipse.gef,3.9.100.201405261516,"org.eclipse.gef",1405085727040
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1405085727064
started,bundle,org.eclipse.emf.ecore.edit,2.7.1.v20120130-0943,"org.eclipse.emf.ecore.edit",1405085727120
started,bundle,org.eclipse.draw2d,3.9.100.201405261516,"org.eclipse.draw2d",1405085727788
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1405085727908
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1405085727912
started,bundle,org.eclipse.uml2.uml.edit,3.1.100.v201009281840,"org.eclipse.uml2.uml.edit",1405085727928
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v201005031530,"org.eclipse.uml2.common.edit",1405085729708
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20120127-1122,"org.eclipse.emf.ecore.change",1405085729864
started,bundle,org.eclipse.uml2.common,1.6.0.v201105021727,"org.eclipse.uml2.common",1405085729873
started,bundle,com.soyatec.model,3.7.1.20110624,"com.soyatec.model",1405085735242
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085735509
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.jdt.ui.PackageExplorer while still in the middle of activating part com.soyatec.uml.ClassDiagramEditor",1405085736010
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085737018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085737756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085741501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085761908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1405085773477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085773647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405085782555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085789940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085793484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085793615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085797028
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405085798465
error,log,,,"Core exception while retrieving the content description",1405085798925
error,log,,,"Core exception while retrieving the content description",1405085798929
error,log,,,"Core exception while retrieving the content description",1405085798932
error,log,,,"Core exception while retrieving the content description",1405085798937
error,log,,,"Core exception while retrieving the content description",1405085798938
error,log,,,"Core exception while retrieving the content description",1405085798939
error,log,,,"Core exception while retrieving the content description",1405085798940
error,log,,,"Core exception while retrieving the content description",1405085798941
error,log,,,"Core exception while retrieving the content description",1405085798943
error,log,,,"Core exception while retrieving the content description",1405085798953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085803002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085814203
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.SequenceDiagramEditor",1405085816927
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.SequenceDiagramEditor",1405085817572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085834530
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085835468
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.SequenceDiagramEditor",1405085835472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085835894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405085845102
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085845103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405085861187
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085861327
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.jdt.ui.PackageExplorer while still in the middle of activating part com.soyatec.uml.ClassDiagramEditor",1405085861569
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085861918
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405085888839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405085889726
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405085895149
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.jdt.ui.PackageExplorer while still in the middle of activating part com.soyatec.uml.ClassDiagramEditor",1405085895277
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085895456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405085899280
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405085901794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085912295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085919985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085924364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085937002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085943687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085959903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085968887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085976662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085989489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085992738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085992861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405085995117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405086007683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405086011847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405086014720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405086014850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405086016348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086018268
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1405086018269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086021073
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086021078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086022529
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086022534
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086023729
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086023729
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405086025182
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405086025182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405086030563
